Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,Length,AASI,ABHPRK,argos,bulkiness,charge_phys,charge_acid,cougar,eisenberg,Ez,flexibility,grantham,gravy,hopp-woods,ISAECI,janin,kytedoolittle,levitt_alpha,MSS,MSW,pepArc,pepcats,polarity,PPCALI,refractivity,t_scale,TM_tend,z3,z5
-2.295115498,-0.387212358,-0.85647948,-0.021570042,-0.297173107,0.437265807,0.508860095,-0.201309879,2.494890021,0.048235643,0.726599384,-0.217335291,0.66108159,-0.296973621,-0.381140574,-0.444755208,-0.476166027,-0.024866166,0.271923957,0.41704281,-0.313985318,0.65248636,0.107548448,-0.66129198,-0.309539226,0.262167677,0.504919971,-0.068618538,0.768632911,0.108919817,0.503228981,0.745392077,-0.034998462,0.405447734,-0.478743042,0.088769561,0.015934086
0.078870682,-0.151371181,-0.214608345,-0.588129734,-1.152498875,0.709850442,-0.169207933,0.688710093,-0.554000454,0.340943386,-0.049624844,-0.681349859,0.597390562,-0.120216771,0.095518883,0.177334631,0.057824416,-0.26724764,-0.571649254,-0.016116394,0.308419494,0.284845631,0.278366222,0.096312221,0.332459718,0.157062953,0.674150766,-0.801023777,0.573520904,0.111297821,0.292825846,0.153647583,0.156696199,0.351400455,-0.44030737,0.421046303,0.260280887
-0.185162595,-0.595393395,-1.137606427,0.278919933,-0.168846216,1.114530105,-1.311411885,0.458668648,-0.54453185,0.010921423,-0.880335021,1.007112015,-0.256349903,-0.597814814,-0.785544864,1.828784881,1.35589506,0.931445679,0.457138575,-0.558030218,1.053623671,-0.807234439,0.364472366,1.140224032,1.044131299,-0.494760228,-1.206819124,-0.579952793,-1.162541398,-1.731111369,-0.953172707,-0.276399446,-0.777797819,-0.66819194,1.102040181,-1.569767479,-1.89176698
0.228710356,0.221842549,0.306415775,-0.169340526,0.052019063,0.143246743,0.073357987,-0.076075668,0.146676239,-0.090094164,-0.094169208,-0.373278137,0.495247871,0.329184359,0.544517622,-0.031602,0.138510543,0.262822474,-0.372143225,0.214951734,0.214491717,-0.691133282,0.186413965,0.547980846,0.224129172,-0.778548806,0.793891208,0.2090304,-0.278957334,0.551271223,-0.452947008,-0.590245821,0.549264747,0.060534993,0.542438644,-0.094545638,-0.267860469
-0.285791765,-0.733578662,-1.044561739,0.255941588,0.334690264,0.230399327,-0.753478119,-0.04644363,-0.54453185,0.770835024,-0.191394202,0.415973343,-0.379505177,-0.748614768,-0.785544864,1.667851226,0.718738876,0.633062701,0.330947408,-0.051607016,0.275941089,-0.291660648,0.226166231,0.472554896,0.264556278,-0.067695354,-1.157080681,0.054850243,-0.757857559,-1.127732881,-0.305458299,0.145035538,-0.217358002,-0.008027706,0.396625123,-0.861906155,-1.164516677
0.620817122,0.430260964,0.870303177,0.472925467,-0.81110206,0.353102223,0.424623626,-0.528776335,1.2497686,0.793906518,-0.632144395,-0.178942045,0.049613215,0.51895887,0.411142158,0.556999134,-0.424242811,-1.068638823,1.120803831,0.043238311,-0.518399274,-0.543006481,-1.138393307,-0.072864903,-0.521795675,-0.073426106,-0.30603501,1.149584636,-0.978449919,-0.731750959,0.10284654,-1.167985664,-0.19245769,0.025985685,0.088551368,-0.327586172,-0.492802989
0.289382279,0.201469686,0.281847795,-1.562961325,-1.049142261,0.710282147,-1.396620219,1.518150608,-0.49718883,0.4347847,-0.839913604,0.796856134,0.040411722,0.237467078,0.382111385,1.421542836,1.223425996,-0.235789889,-1.350317863,-0.467764623,1.538379433,-0.344962723,0.730010314,1.073423741,1.55495761,0.289265886,-0.660893615,-1.04606359,-0.306104105,-0.909489602,-0.851479024,0.867423603,-0.503278774,-0.642801709,0.818419642,-1.727620476,-2.039065842
1.313759892,1.170888463,1.433079794,-0.738240277,0.94581053,-0.513076782,0.077638233,-0.860853736,-0.09003886,0.356009787,0.351039775,-1.217694905,0.471098717,1.275189727,1.319551897,-0.338299133,-0.444979697,-0.935652052,-0.31612119,0.880753176,-0.799141356,-0.368753368,0.394862056,-0.769353788,-0.789291261,-0.306010212,0.593766582,1.004337276,-0.128547451,1.392369074,0.132148874,-0.891753617,1.112252029,0.578764444,-0.369835968,0.675976518,0.632773923
1.341309362,0.818197027,1.139309485,-0.159915156,-0.325074718,0.063689718,0.099595696,-0.146200292,0.81894712,-0.099921284,-0.288853397,-0.3355206,-0.1081468,0.927179997,0.94560215,-0.080105036,-0.072148234,-0.181779462,0.269181358,-0.143697749,0.080390785,-0.320243087,-0.266105515,0.223792728,0.090426412,-0.539996292,0.123149383,-0.021364975,-0.367661209,0.025310447,-0.145540544,-0.402584063,0.004414353,-0.231790657,0.210923448,-0.077064659,0.176615394
-1.211327769,-1.602864574,-1.191250872,-0.239859275,-0.179152518,-0.957321868,1.121505769,-0.980605958,-0.355159771,1.261292379,0.836339945,-1.158580354,-0.928984621,-1.603833612,-1.545513233,0.426680546,-0.864654338,0.714383178,1.125802253,-0.12243902,-1.157644042,1.297495423,-1.220069002,-0.868308812,-1.154826178,0.251879036,-0.105224733,-0.417635315,0.670132084,0.100548116,1.673198383,0.799933018,-0.493974455,0.768593338,-1.22502057,1.273713754,1.168506772
0.480230706,0.409504884,1.197397075,-0.393880589,-0.043769046,0.140263584,-1.629114485,2.057381388,0.312376808,-1.29410187,-1.972362424,1.128743606,-0.806300095,0.43834398,0.163653814,-0.159270758,1.393485141,-2.872844677,-2.182227166,-1.752179452,1.366859106,-0.537039778,-0.012214071,0.647706108,1.367548497,0.852355664,-1.85620333,-1.232494583,-0.51867903,-1.546616791,-0.511359608,1.073075368,-2.380804796,-2.099671401,0.979416414,-1.409438494,-0.934459065
1.080325454,2.131864129,1.437065556,-0.427913518,-1.96165742,0.089329228,-0.813430735,0.436465911,-0.733903929,-1.75960248,-2.753758499,-0.173278341,-1.339806896,1.919752302,1.434365977,-0.603971725,0.612285144,-0.732309709,0.516663043,-2.331553275,1.120559584,-1.089448363,-1.274206631,1.499865899,1.126319895,-1.924612633,-1.177532667,-1.456494781,-2.043062274,-1.177461881,-1.141478677,-2.070067818,-1.154148941,-2.417564065,0.945298504,-0.497462756,-0.602612434
-0.071389594,-0.203246233,-0.725178005,-1.522543983,-0.077811372,0.596621202,-0.448104715,0.340951804,-0.326753959,-0.391455147,0.120699172,-0.079071692,0.592645055,-0.18337534,-0.224212812,0.272485613,0.533906469,0.54922556,-0.129305153,-0.099810055,0.483376019,-0.053939099,0.778082184,0.216101761,0.499670141,-0.467605301,0.256737142,-0.79085081,0.166742128,-0.551284849,-0.125286905,0.620911627,-0.398551046,-0.141455162,0.195833101,-0.457769468,-0.33012076
0.643319361,0.547468346,0.790195882,-0.041639617,0.54940582,0.245761583,-0.706401547,0.696452636,0.089864615,-0.227768846,-0.573561375,0.489738493,-0.197868184,0.623063964,0.497819594,0.562243154,0.754332029,-0.070247742,-0.490396101,-0.22431959,0.929523261,-0.899765344,0.25711252,0.966889025,0.93928563,-0.47209868,-0.10387926,-0.289904348,-0.689748507,-0.078765078,-0.997561465,-0.213848594,0.078714803,-0.33842293,1.054182332,-0.5862443,-0.322774646
0.026295358,-0.109656497,-0.283999819,0.044528412,0.293740008,0.166997804,-0.442128299,0.17035908,-0.378831281,-0.402534893,0.253059403,-0.13462451,0.602049761,-0.078190955,0.118496761,0.035104923,0.473203731,-0.17516542,-0.580643723,-0.018162372,0.375671656,-0.288537032,0.628189576,0.216866045,0.380896496,-0.182998189,0.486872449,-0.15300182,0.169989846,0.092472889,-0.259838695,0.776709489,-0.125761807,-0.156026392,0.281405948,-0.285090205,-0.147786047
