Charge,ChargeDensity,pI,InstabilityInd,Aromaticity,AliphaticInd,BomanInd,HydrophRatio,Length,AASI,ABHPRK,argos,bulkiness,charge_phys,charge_acid,cougar,eisenberg,Ez,flexibility,grantham,gravy,hopp-woods,ISAECI,janin,kytedoolittle,levitt_alpha,MSS,MSW,pepArc,pepcats,polarity,PPCALI,refractivity,t_scale,TM_tend,z3,z5
-0.3756298,-0.5087021,-0.757558851,0.515447157,0.067442991,0.029924515,-0.127485984,0.470182275,-0.01426457,-1.067129849,-0.405377148,0.920826306,-0.173682439,-0.438141733,-0.396857981,-0.806778194,0.133583905,0.418694753,-0.462701693,-0.38413221,0.30600446,-0.190338906,0.128731047,0.546936629,0.281201004,0.25373467,-0.196367731,-0.081388262,-0.022816399,-0.215724664,-0.560003842,-0.398910136,0.260191258,-0.421110344,0.205829517,0.187640532,0.300461515
0.423835181,0.331577378,0.543079593,0.03157855,1.154650253,0.147414562,-0.195109621,-0.190752782,-0.294109988,-0.309006135,0.81869897,-0.158806541,0.770853134,0.386881494,0.631405052,-0.139714133,0.14152288,0.624649121,-0.309307403,0.963356581,0.007681521,-0.488589326,0.965758243,-0.048278432,0.011032449,-0.23625756,1.016686315,0.931299428,0.261170801,1.101096194,-0.449836899,-0.341855088,1.19049926,0.631601142,0.174642406,0.100977007,0.165436858
-1.33580898,-1.157032573,-1.260501845,-0.145681031,0.168303934,0.118275142,0.634014355,-0.302065668,0.172299042,0.901650976,0.941392454,-0.211488625,0.599386282,-1.153026796,-1.054001086,0.213795957,-0.413760272,0.271048701,-0.128404783,0.817957219,-0.442879247,0.272378643,-0.176417497,-0.348050308,-0.447579807,0.726597962,0.937961455,0.524363696,0.744407314,0.538885957,0.443564438,0.916072222,0.573778511,1.127522164,-0.299713489,0.270825507,-0.089052146
-0.602040215,-0.679824868,-1.047635747,0.780923568,-0.096781761,-0.180319986,0.509836025,-0.465204905,0.026292737,-0.313742486,0.425992458,-0.022162091,0.437984453,-0.662757213,-0.630174497,-0.543211673,-0.361746886,-0.000101742,0.290274503,0.158107811,-0.421281354,0.118122158,-0.157278231,-0.216866048,-0.430971823,0.096550096,0.437102343,0.679086679,0.276974492,-0.050097223,0.103743107,0.65401251,0.121360913,0.131121821,-0.198986118,0.088703723,0.021574313
0.552957229,0.228368251,0.518228669,0.01118661,-0.823562634,0.259774331,1.368504843,-0.267558479,1.026030354,1.558312151,1.587094345,-0.433837434,0.690287128,0.304830081,0.451121214,-0.761181752,-1.598937297,-0.361771553,-0.126805145,1.790269367,-1.271204442,1.521433474,-0.182814206,-1.864687812,-1.267872324,2.424054714,1.185282178,1.073543222,2.088977041,1.655418831,1.449990876,0.374924501,1.187788347,2.029196649,-1.484139538,1.003069846,0.752798083
-0.926173751,-0.306784038,-0.521955438,0.19189287,-1.081102628,-0.516160939,1.072081842,-0.759587927,1.808786378,1.286851959,1.434992622,-1.099329065,0.299359459,-0.044724418,-0.022585051,-0.681469811,-1.04320667,-0.630683402,0.777726913,1.057623215,-1.027463196,1.931625552,-0.484181541,-1.393566949,-1.015584896,2.011767098,1.200520837,0.69834285,2.000056737,1.596428415,1.889305821,1.597577789,0.720496221,1.590667742,-1.498659552,1.542343372,1.203856512
-2.724849194,-5.449836013,-1.780449789,0.678407289,-1.197267499,-0.504892894,2.59416327,-2.043232729,-0.519203041,3.24366279,2.547065949,-2.217820627,-0.807772582,-5.653707944,-5.704117674,0.963286589,-2.053313544,1.940266166,2.357828208,0.403232373,-2.477486174,3.339602496,-2.3460579,-2.070957283,-2.501966842,1.784263805,0.404736307,-1.298197457,2.732029494,0.27501603,3.440127095,2.207851281,-0.13764696,2.813292635,-3.07693713,2.72142575,0.974228225
-2.973528694,-5.872981063,-1.811065103,0.897883013,-1.207875261,-0.393191038,2.461911507,-1.592898633,-0.515147311,3.248770684,2.674914556,-1.85686279,-0.704947927,-6.078143336,-6.111245962,1.073106492,-1.87890167,2.555749498,2.056891684,0.437410346,-2.221217753,3.445986608,-2.058142095,-1.876172266,-2.245665013,2.098470047,0.534200851,-1.667860025,2.994628058,0.120627217,3.386486179,2.601086547,-0.044794033,3.020411875,-3.061775616,2.749220918,1.03092426
-3.612859149,-6.617451589,-1.899900752,2.251480754,-1.167959596,-0.487094156,2.290264103,-1.701441634,-0.4806736,3.529491788,2.284643446,-1.871610697,-0.983799465,-6.834415444,-6.993150604,1.616325809,-1.679584328,2.373095608,2.278305642,0.302406911,-2.254149785,3.276343748,-2.520803991,-1.68056525,-2.284669074,2.464597123,0.343078579,-1.294581399,2.603728903,-0.013796106,3.371079128,2.796472486,-0.098201541,3.071277302,-2.91328627,2.693718881,0.627246694
-0.042849482,-0.095579203,-0.394914695,-0.320260757,1.486781963,0.366153728,-0.905308286,0.787788927,0.482562441,-0.788384214,-0.746483191,1.093927839,0.103992381,-0.057869357,-0.137902776,0.190568767,0.976601369,-0.479003649,-1.166095631,-0.104763958,0.780256325,-1.301336758,0.605347978,1.055671786,0.76344048,-0.181995145,-0.622007904,0.516698895,-1.018617449,-0.664148735,-1.161946521,-0.100291823,0.013977972,-0.561311035,1.277749062,-0.80204393,-0.453623439
